pays,img_src,description_pays,accessibilite,description_ville,continent,score,nom_ville
Canada,https://api.mobeetravel.com/assets/96243363-f984-4011-9663-002ed582dbc1,"Vaste pays montagneux, le Canada possède une faune riche autant sur terre que sous l’eau. Quelle que soit la saison, vous assisterez à des spectacles grandioses avec des paysages à couper le souffle. Ce pays est une destination très intéressante pour les amoureux de grands espaces et de culture. Le Canada est une destination à ne pas manquer même pour les personnes en situation de handicap ou à mobilité réduite.
         Les villes au Canada sont plus ou moins accessibles aux personnes handicapées. En revanche, nous conseillons fortement aux personnes en fauteuil roulant de voyager accompagnées et de vérifier l’accessibilité des lieux qu’elles souhaitent visiter pour éviter tout problème. Depuis de nombreuses années le Canada à mis en place une loi sur l’accessibilité des Transports Canadiens (LTC) permettant un meilleur accès aux transports pour les personnes handicapées. Si vous êtes accompagnateur pour les personnes handicapées, vous pouvez voyager gratuitement dans les transports en commun. Le pays est parmi l’une des meilleures destinations au monde en termes d’accessibilité pour les personnes ayant des besoins spécifiques.
Le Canada à également mis en place la présence de places de parking réservées aux handicapés dans tous les lieux accueillant du public. Le pays multiplie aussi ses panneaux en braille par exemple dans les ascenseurs. De plus, un système est dédié aux personnes malentendantes directement sur les chaînes des télévisions et les sites internet les plus regardés. La plupart des grandes villes comme Vancouver par exemple disposent de grands trottoirs pour pouvoir circuler facilement avec votre chaise roulante.","Toronto est une ville moderne, et accessible pour les personnes à mobilité réduite ou en situation de handicap. Concernant les transports en commun de cette ville, il est plus prudent de privilégier les bus, tous dotés d'un planché surbaissé pour faciliter l'accès aux personnes en fauteuil roulant et d'équipements destinés aux personnes souffrant d'un handicap visuel ou auditif. Vous pourrez également prendre des taxis, puisqu'un service de porte-à-porte à été mis en place pour les PMR.","Toronto, autrement appelée la “Ville Reine” au Canada, est la ville la plus peuplée de ce pays. Cette métropole, trépidante, cosmopolite et internationale est composée de quartiers distincts qui vous permettront de vous imprégner de la culture urbaine canadienne. Cette ville typique d'Amérique du nord, avec ses très hauts buildings, ses îles qui offrent une vue imprenable sur sa fabuleuse skyline, ses plages, ses immenses centres commerciaux ou encore ses incroyables musées, vous offriront un séjour mémorable. Vous pourrez alors déambuler dans ses rues, visiter ses monuments comme la belle CN Tower ou encore assister à un match des Blue Jays, la célèbre équipe de Baseball, pour faire connaissance avec la capitale de l'Ontario.",Amérique du Nord,81,Toronto
Chypre,https://api.mobeetravel.com/assets/946167a9-a20e-405d-ac2a-0eb09430c19d,"Chypre, une île située dans la mer Méditerranée, réputée pour son histoire riche, ses plages magnifiques et son climat ensoleillé. Chypre offre un mélange unique de cultures grecque, turque et britannique, avec des influences visibles dans son architecture, sa cuisine et ses traditions. Les visiteurs peuvent explorer les vestiges antiques tels que les ruines de Kourion et de Salamine, se détendre sur les plages de sable doré de Paphos et d'Ayia Napa, ou se perdre dans les charmants villages traditionnels nichés dans les montagnes. Chypre est également connue pour sa gastronomie délicieuse, avec des plats tels que le halloumi, le souvlaki et les mezzés. Que vous soyez à la recherche de détente, d'aventure ou de découverte culturelle, Chypre offre une expérience inoubliable dans un cadre idyllique.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, Chypre a fait des efforts pour améliorer l'accessibilité et l'inclusion dans de nombreux domaines. Les infrastructures touristiques, hôtelières et publiques ont été adaptées pour accueillir les personnes handicapées.","Chypre a fait de nombreux changements pour permettre aux personnes handicapées de profiter de leurs vacances au même titre que des personnes valides. En effet, les personnes en fauteuil roulant pourront circuler dans les villes, utiliser les transports en commun, accéder aux sites touristiques et profiter de la plage. ","Optez pour un dépaysement total sur cette île où se mêlent paysages ruraux, montagneux ou encore marins, et découvrez son histoire. Chypre vous apportera tout ce dont vous aurez besoin pour passer des vacances adaptées à votre handicap ensoleillées et inoubliables.",Europe,71,Chypre
Croatie,https://api.mobeetravel.com/assets/26656a42-f039-4d4e-a81f-2c24342d1532,"La Croatie est un joyau de la côte adriatique, offrant une combinaison spectaculaire de paysages côtiers et montagneux. Avec plus de 1 000 îles, îlots et péninsules, la Croatie regorge de destinations de vacances idylliques. Dubrovnik, surnommée la ""perle de l'Adriatique"", est une ville fortifiée médiévale qui fascine les visiteurs avec ses remparts bien préservés et ses ruelles pavées. Split, une autre ville côtière emblématique, abrite le palais de Dioclétien, un site du patrimoine mondial de l'UNESCO, où l'histoire romaine se mêle à la vie quotidienne moderne. Le paysage naturel est tout aussi impressionnant, avec les cascades magiques du parc national de Plitvice, les formations rocheuses du parc national des lacs de Krka et les îles paradisiaques de Hvar, Brac et Korcula. La Croatie est également célèbre pour sa cuisine délicieuse, sa riche tradition viticole et ses festivals culturels animés.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, la Croatie fait des efforts pour améliorer l'inclusion et l'accessibilité dans les infrastructures et les services touristiques. Les grandes villes comme Zagreb, Dubrovnik et Split ont adopté des mesures pour rendre les sites touristiques, les hôtels et les transports publics plus accessibles.","Dubrovnik n'est malheureusement pas des plus accessibles pour les PMR. En effet, les PMR ou les personnes en fauteuil roulant pourront rencontrer des difficulté pour circuler dans les rues pavées, également connues pour compter de nombreux escaliers. Les gares routières et ferroviaires, les aéroports et principaux lieux publics sont eux accessibles aux personnes handicapées. Nous recommandons alors de voyager accompagné pour faciliter les visites.","La ""Perle de l'Adriatique"", placée sur la liste du patrimoine mondial de l'UNESCO, n'attend plus que vous pour un séjour adapté aux personnes handicapées de rêve. Riche par sa culture et son histoire, vous aimerez en apprendre davantage sur cette ville à travers ses rues, ses locaux et ses spécialités culinaires. En plus de son patrimoine architectural, Dubrovnik vous surprendra par ses plages aussi différentes que belles.",Europe,64,Dubrovnik
Danemark,https://api.mobeetravel.com/assets/81bb898f-9c98-4949-8ec8-fbce85e968e3,"Le Danemark, ancienne terre des vikings, est une destination qui offre des paysages qui vous laisseront sans voix. En effet, le territoire présente des vues champêtres et des plaines vertes qui contrastent avec les falaises plongeant dans la mer bleue.
         Le Danemark est une magnifique porte d’entrée pour le tourisme en Scandinavie. Le pays offre certaines activités accessibles et adaptées, notamment la ville de Copenhague, avec son Palais d’Amalienborg et la relève de la garde. L’accessibilité aux handicapés dans la société danoise est considérablement améliorée pendant les dernières années. Les plus petites villes ne sont pas toujours bien adaptées pour les personnes à mobilité réduite et en situation de handicap, visiter l’une de  ces nombreuses petites villes pittoresques et marcher à travers les siècles de l’histoire danoise vous emmènera peut-être à rencontrer des difficultés. Ainsi, nous conseillons aux personnes handicapées de voyager accompagnées afin de profiter de leurs vacances en toute sérénité et de bien vérifier l’accessibilité aux PMR des différentes infrastructures à visiter. ","Dans cette capitale, les transports en commun sont accessibles aux PMR, vous pourrez même utiliser les fameux bateau-bus pour vous déplacer et vivre une expérience originale. Concernant les personnes en fauteuil roulant, ces dernières pourront se déplacer facilement car la ville est plate et les rues sont assez larges. Les personnes handicapées pourront donc visiter Copenhague assez facilement.","Découvrez la capitale du Danemark pendant un séjour adapté aux personnes handicapées et faites connaissance avec son histoire, son architecture et sa célèbre gastronomie. Apprenez-en davantage sur la culture danoise et revenez avec des souvenirs inoubliables.",Europe,81,Copenhague
Emirats Arabes Unis,https://api.mobeetravel.com/assets/4ab9ac7e-2ef7-48f5-96a6-de53dc6986bc,"Les Émirats Arabes Unis, un pays situé dans la péninsule arabique, au Moyen-Orient. Les Émirats Arabes Unis se composent de sept émirats distincts, dont Dubaï et Abu Dhabi, qui sont mondialement connus pour leurs gratte-ciel futuristes, leurs centres commerciaux extravagants et leurs îles artificielles. Ce pays offre un contraste fascinant entre tradition et modernité, avec des souks traditionnels où l'on peut acheter des épices et des tapis, ainsi que des centres urbains ultramodernes où l'on peut découvrir des hôtels de luxe et des attractions palpitantes. Les Émirats Arabes Unis sont également réputés pour leur incroyable développement architectural, avec des monuments emblématiques tels que le Burj Khalifa, la plus haute tour du monde, et la grande mosquée Sheikh Zayed, une merveille architecturale. En outre, les visiteurs peuvent profiter de plages magnifiques, d'activités de plein air passionnantes, de parcs d'attractions de renommée mondiale et d'une scène artistique et culturelle en plein essor.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, les Émirats Arabes Unis ont adopté des mesures pour améliorer l'accessibilité et l'inclusion. ","Concernant les personnes à mobilité réduite, Dubai met un point d’honneur à rendre accessible la ville ainsi que ses différentes infrastructures. Des personnes ont été engagées pour améliorer les conditions de circulation des personnes en fauteuil roulant. Visiter Dubai est donc accessible aux personnes à mobilité réduite et en situation de handicap.","Entre folie des grandeurs, activités incroyables et plages de rêve, Dubai est la destination qui rendra vos vacances inoubliables ! Partez à la découverte de centaines de boutiques, prévoyez une excursion dans le désert et surtout, profitez d’une eau turquoise à n’importe quel moment de l’année. Adaptée à tout type de voyages, en famille, en couple ou entre amis, cette destination vous réserve de nombreuses surprises !",Asie,78,Dubai
Espagne ,https://api.mobeetravel.com/assets/cd14de57-f5b3-47b3-a2a8-be4f24e91d23,"L’Espagne est un pays qui offre une immense diversité. Que ce soit ses paysages, sa culture, ses villes ou même ses langues, découvrez la richesse du patrimoine de ce pays lors d’un séjour adapté pour personnes à mobilité réduite ou en situation de handicap. Laissez-vous bercer par les merveilleux monuments et mode de vie des habitants des différentes régions d’Espagne et participez à des activités accessibles et adaptées aux personnes handicapées.
         Les personnes souffrant d'un handicap moteur ou d’une déficience visuelle, auditive ou intellectuelle peuvent voyager en Espagne en toute facilité. En effet, les transports en communs et les voiries sont adaptés aux personnes handicapées. En Espagne, pratiquement toutes les infrastructures et une grande partie des services et offres touristiques répondent aux exigences d’accessibilité. Les îles espagnoles peuvent également être une très bonne alternative si vous avez envie d’un rythme “fiesta and siesta” typique de l’Espagne. Des investissements ont été faits pour adapter certaines activités ainsi que des sites touristiques pour les personnes en fauteuil roulant. Nous vous conseillons tout de même de bien vérifier l’accessibilité des sites que vous souhaitez visiter.",De nombreux travaux ont été réalisés sur cette île pour faciliter les vacances pour personnes à mobilité réduite. Les transports sont adaptés PMR et les hôtels et autres infrastructures sont de manière générale plutôt accessibles. Cette région d'Espagne est également l'une de celles qui comptent le plus de plages accessibles pmr. ,"Direction Palma de Majorque pour un séjour ensoleillé sur une des îles les plus célèbres d'Espagne. Plages de sable blanc et eaux turquoises, l'idéal pour profiter de vos vacances adaptées.",Europe,54,Palma de majorque
Etats-Unis,https://api.mobeetravel.com/assets/ee9b1574-4c3e-4c31-bb9c-e49413f6dfa3,"Vaste pays composé de 50 états tous différents les uns des autres, les États-Unis forment un véritable “pays-monde”. Des villes à la pointe de la modernité, aux étendues désertiques du grand Canyon en passant par les montagnes aux vastes forêts, les États-Unis renferment une multitude de trésors naturels, culturels et historiques. Pays historiquement très touché par l’immigration de nombreuses ethnies, on qualifie généralement ce pays comme un “melting pot”. Partez à la rencontre de ces différentes populations et découvrez leurs modes de vie.
Les grandes villes ont généralement des installations accessibles, telles que des rampes d'accès et des ascenseurs, mais les zones rurales peuvent être plus difficiles d'accès. ","Cette ville immense est adaptée pour les personnes à mobilité réduite ou en situation de handicap. De part sa taille et le manque de transports en commun, il est recommandé de louer une voiture pour vous déplacer sur place. Comptez sur mobee travel pour s'occuper de la location d'une voiture PMR qui vous permettra de vous déplacer pendant votre séjour accessible. Comme dans la plupart des grandes villes américaines, les rues et les trottoirs sont larges, ils permettent alors aux personnes en fauteuil roulant de circuler facilement.","Partez pour Los Angeles et découvrez cette ville cosmopolite de plus de 18 millions d'habitants et ses quartiers emblématiques tels que Beverly Hills, Hollywood ou encore Malibu. Prenez le chemin des plus grandes stars américaines et découvrez les différents studios dans lesquels ont été tournés vos films et séries préférés, faites le tour des maisons de stars et arpentez le célèbre Walk of Fame pour découvrir les étoiles de nombreuses icônes !",Amérique du Nord,68,Los angeles
Finlande,https://api.mobeetravel.com/assets/934680c9-5b88-409c-b85f-7f0915641ae7,"Visitez la Finlande avec votre handicap. La Finlande, pays situé au Nord de l’Europe, est une destination à ne pas manquer. Avec ses vastes forêts, ses nombreux lacs et ses villages aux maisons colorées, le pays présente un riche patrimoine et des vues merveilleuses. Visitez les grandes villes et leurs monuments, découvrez l’ambiance chaleureuse des petits villages, observez les aurores boréales la nuit et goûtez aux spécialités culinaires de ce pays.
La Finlande est connue pour être un pays pionnier en matière d'accessibilité. En effet, le gouvernement finlandais a adopté une politique d'accessibilité pour tous les citoyens, y compris les personnes handicapées, en 2003. Depuis lors, les autorités finlandaises ont travaillé dur pour éliminer les obstacles physiques, sociaux et informationnels auxquels les personnes handicapées sont confrontées dans leur vie quotidienne. Les infrastructures publiques, telles que les transports en commun, les bâtiments gouvernementaux, les écoles et les hôpitaux, sont toutes équipées d'installations et d'équipements pour les personnes handicapées, et les entreprises sont encouragées à suivre cet exemple.","Question accessibilité, pendant la saison hivernale en Laponie, la neige est si givrée que les personnes en fauteuil roulant pourront circuler facilement. Concernant les transports, il est préférable de louer une voiture PMR pour garantir le bon déroulement de votre séjour. Les activités quant à elles sont très souvent adaptées aux personnes à mobilité réduite et en situation de handicap.","Direction la Laponie pour vivre une expérience féérique qui alimentera votre imagination. Petits et grands vont s’émerveiller devant la beauté des paysages mais également grâce aux contes et créatures légendaires. Entre balades en chien de traîneaux ou randonnées en motoneiges, votre séjour en Laponie vous laissera des souvenirs inoubliables. Surtout, ne passez pas à côté d’une chasse aux aurores boréales, un phénomène rare que vous ne révérez peut-être jamais.",Europe,84,Laponie
France,https://api.mobeetravel.com/assets/caaf5a15-fe54-47c1-9cde-66044f4c24a6,"La France, pays emblématique au cœur de l'Europe, vous invite à plonger dans son histoire riche, sa culture vibrante et ses paysages enchanteurs. Des majestueux châteaux de la Loire aux ruelles pavées de Paris, en passant par les plages ensoleillées de la Côte d'Azur et les vignobles de renommée mondiale de Bordeaux, chaque région offre une expérience unique. La France est réputée pour son art de vivre, sa gastronomie exquise, ses musées renommés et son héritage artistique sans égal. Que vous soyez amateur d'histoire, de mode, de nature ou de cuisine, la France saura vous charmer et vous laisser des souvenirs inoubliables. 
La France s'engage de plus en plus à rendre ses attractions touristiques, ses infrastructures et ses transports accessibles aux personnes à mobilité réduite (PMR). De nombreuses villes et sites historiques ont mis en place des aménagements pour garantir une accessibilité optimale. Les transports en commun, tels que les métros et les bus, sont de plus en plus adaptés, avec des rampes d'accès et des places réservées aux PMR. De nombreux musées et monuments historiques sont également équipés d'ascenseurs, de rampes d'accès et de toilettes adaptées. De plus, de nombreux hébergements proposent des chambres et des installations spécialement conçues pour les personnes à mobilité réduite. Que ce soit pour visiter des sites touristiques, se déplacer en ville ou séjourner dans des hébergements, la France travaille activement pour rendre l'expérience aussi inclusive que possible pour tous les voyageurs.",Vous pouvez retrouver ces plages aux adresses suivantes:,"La ville de Nice a introduit en 2008 le Service Handicap, qui se mobilise pour aider les personnes en situation de handicap ou à mobilité réduite ainsi que leur famille dans leur quotidien pour faciliter l'accès dans la ville.",Europe,89,Nice
Hong Kong,https://api.mobeetravel.com/assets/c6a13dc4-87f7-4bb5-9dc3-d8dc9f2cc2cb,"Hong Kong, une région administrative spéciale située sur la côte sud de la Chine. Connu pour être l'un des centres financiers et commerciaux les plus importants au monde, Hong Kong est une ville dynamique et cosmopolite qui fusionne harmonieusement la culture chinoise et l'influence occidentale. Ses gratte-ciel emblématiques, tels que l'emblématique Victoria Peak et le quartier de Central, créent une impressionnante skyline qui fascine les visiteurs. Outre son aspect urbain, Hong Kong offre également une nature spectaculaire, avec des parcs nationaux, des îles pittoresques et des sentiers de randonnée offrant des vues panoramiques. Les amateurs de gastronomie ne seront pas déçus, car Hong Kong est réputé pour sa cuisine variée, allant des plats de rue aux établissements étoilés au guide Michelin. 
 
En ce qui concerne l'accessibilité pour les personnes handicapées, Hong Kong a mis en place des mesures pour garantir une certaine accessibilité aux personnes handicapées. Les transports publics, tels que le métro (MTR) et les bus, disposent de rampes d'accès et de places réservées aux personnes en fauteuil roulant.","Côté accessibilité, Hong Kong compte un nombre important de logements, activités, attractions et services adaptés aux personnes handicapées. Le séjour des personnes en fauteuil roulant dans cette ville se fera donc sans problème.","On vous emmène visiter la ville la plus influente d’Asie du Sud-Est : Hong Kong ! Préparez-vous à explorer cette ville de 7 millions d’habitants, connue pour être la plus densément peuplée de la planète. Découvrez cette ville aux contrastes des plus marqués : richesse et pauvreté, lumière et obscurité, le reflet d’un contraste entre 150 ans d’influence coloniale et 5000 ans de tradition chinoise. La visite de cette ville dotée d’une personnalité unique vous impressionnera pas la diversité des activités proposées et le panorama offert par la Baie de Victoria illuminée.",Asie,52,Hong kong
Hongrie,https://api.mobeetravel.com/assets/52fc14e5-aadf-4391-9171-85e15270cf74,"La Hongrie a une population d'environ 9,8 millions d'habitants et une riche histoire remontant à plus de 1000 ans, avec des influences culturelles turques et autrichiennes qui se reflètent dans sa cuisine, son architecture et ses traditions. Le pays est également connu pour ses sources thermales naturelles, avec plus de 1000 sources d'eau chaude à travers le pays. La Hongrie est une destination populaire pour les touristes, qui visitent les sites historiques tels que le château de Buda et la Basilique Saint-Étienne, ainsi que les festivals de musique et les événements culturels tout au long de l'année.
L'accessibilité en Hongrie est un sujet important pour les personnes en situation de handicap, bien que des progrès significatifs aient été réalisés ces dernières années. La Hongrie a ratifié la Convention des Nations Unies relative aux droits des personnes handicapées en 2007.
 ","Concernant l’accessibilité, la capitale ne fait pas partie des villes les plus accessibles, en revanche, de nombreux changements ont été entrepris pour améliorer les conditions de circulation des PMR. Les lignes de métro tendent à devenir toutes accessibles et les infrastructures deviennent de plus en plus adaptées pour enfin devenir une véritable destination pour tous.","Entre Buda, la zone résidentielle la plus prestigieuse et Pest, le coeur économique et commercial de la capitale Hongroise, envolez-vous vers une ville envoûtante. Des grandes avenues remplie de magasins, en passant par les sites touristiques incontournables comme le Parlement, les Bains Gellért ou encore le musée sur l’Holocauste, Budapest n’aura plus de secret pour vous après votre séjour en terre hongroise ! Surtout, ne passez pas à côté des célèbres ruin bars, passez-y une soirée typique entre amis, et créez des souvenirs inoubliables.",Europe,93,Budapest
Indonésie,https://api.mobeetravel.com/assets/b682549c-ab40-48a8-b337-233b9c312235,"L'Indonésie est un pays d'une grande diversité, tant sur le plan culturel que naturel. Avec plus de 17 000 îles, il abrite des paysages à couper le souffle, tels que des volcans majestueux, des plages de sable blanc, des rizières en terrasses et des forêts tropicales luxuriantes. Des villes animées comme Jakarta et Yogyakarta aux retraites balnéaires paradisiaques de Bali et de Lombok, en passant par les sites historiques de Borobudur et de Prambanan, l'Indonésie offre une multitude d'expériences uniques. Les visiteurs peuvent découvrir une riche diversité culturelle, avec plus de 300 groupes ethniques et des traditions ancestrales préservées. La cuisine indonésienne, réputée pour ses saveurs épicées, est également une expérience à part entière. Que vous soyez à la recherche d'aventures en plein air, de détente sur des plages de rêve ou d'exploration culturelle, l'Indonésie vous promet un voyage mémorable.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, il convient de noter que l'Indonésie peut présenter des défis en termes d'accessibilité. Dans les grandes villes, comme Jakarta et Bali, certains hôtels, restaurants et centres commerciaux ont mis en place des installations adaptées pour les personnes handicapées, notamment des rampes d'accès et des toilettes adaptées.","Bali est l'une des destinations préférées des personnes à mobilité réduite ou en situation de handicap. En effet, la plupart des infrastructures et hôtels sont adaptés aux PMR. De nombreuses promenades sur la plage sont accessibles aux personnes en fauteuil roulant, et la plupart des sites touristiques sont également adaptés. Certains plus que d'autres, mais vous trouverez toujours quelqu'un pour vous aider. Les rues seront elles en revanche plus difficilement accessible à cause des hauts trottoirs mal entretenus et des marches qui se font nombreuses. ","Envolez-vous pour le pays surnommé l’île des dieux dû à sa culture hindouiste et bouddhiste très présente. Découvrez les rites et cérémonies pour leur divinité à travers des festivités colorées, des décorations qui envahissent la ville et les habitants en tenue traditionnelles. Cette île est réputée pour l’extrême gentillesse des locaux et ses paysages de cartes postales (rizières, volcans, plages, cascades, montagnes…). Partez vite à la découverte de Bali lors de votre séjour adapté PMR organisé par mobee travel.",Asie,87,Bali
Irlande,https://api.mobeetravel.com/assets/52475699-0c71-49d1-bb31-cacc131eded7,"Partez à la conquête de la culture gaélique.  L’Irlande, connue aussi sous le nom de « île d’émeraude » est un pays qui offre de magnifiques paysages. En effet, ce pays est connu pour ses plaines d’herbe verte s’étendant jusqu’aux falaises, abritant une multitude de moutons. Elle doit également sa renommée à la bière et aux pubs ainsi qu’à l’humeur festive de ses habitants. Pourtant vous remarquerez que les apparences sont souvent trompeuses. L’Irlande est avant tout un pays meurtri par son passé, dont vous découvrirez l’histoire au fil de votre séjour adapté.
         L’Irlande est un pays accessible aux personnes à mobilité réduite et en situation de handicap. En effet, elle dispose de taxis spécialement adaptés aux personnes en fauteuil roulant. De plus, de nombreux sites touristiques et parcs d’attraction sont accessibles aux personnes handicapées. Profitez de vos vacances pour participer à des activités accessibles en fauteuil roulant en toute sérénité.","Concernant l’accessibilité, la capitale irlandaise est totalement adaptée pour accueillir des personnes en fauteuil roulant. En effet, les trottoirs abaissés facilitent leur circulation et les activités sont elles aussi, accessibles aux personnes handicapées.","Rendez-vous en terre Irlandaise, au pays des vikings ! Dublin, capitale moderne et riche par son histoire n’attend plus que vous pour vous faire découvrir ses nombreuses ressources. Entre centre-ville animé et espaces verts incroyables, vous trouverez des activités parfaitement adaptées à vos besoins. Berceau et source d’inspiration de nombreux écrivains très talentueux comme Oscar Wilde et Samuel Beckett, en visitant la ville, vous pourrez vous plonger dans les romans écrits par ces auteurs à succès. N’attendez plus et réserverez votre séjour sur mesure à Dublin.",Europe,84,Dublin
Israël,https://api.mobeetravel.com/assets/492f4e58-d0ec-421e-8cad-00e208bbab77,"La Palestine a une longue histoire et une riche culture, avec des liens étroits avec les religions juive, chrétienne et musulmane. 
L'accessibilité en Palestine est un enjeu majeur pour les personnes en situation de handicap. Les infrastructures et les équipements ne sont souvent pas adaptés aux besoins des personnes à mobilité réduite, ce qui peut rendre difficile leur accès aux bâtiments publics, aux transports en commun et aux services de base tels que les hôpitaux et les établissements d'enseignement. ","Côté accessibilité, Tel Aviv permet aux personnes en fauteuil roulant de circuler. Plutôt plate, avec des transports en commun adaptés, la ville est pensée de manière à faciliter sa visite par les personnes handicapées.","En route pour une ville moderne, vibrante et ouverte sur le monde, Tel Aviv n’attend plus que vous ! Cette destination en plein essor, forte par sa jeunesse, son dynamisme et son ouverture d’esprit, conjugue toutes sortes d’activités entre tourisme culturel et balnéaire. D’un côté, cette ville historique, au coeur des trois religions monothéistes, vous plongera dans son histoire, de l’autre, elle vous emportera par sa folie et vous offrira des soirées de fête mémorables où vous aurez envie de partir entre amis. Partez pour cette ville qui respire la modernité en plein coeur du Moyen-Orient.",Asie,56,Tel aviv
Italie,https://api.mobeetravel.com/assets/f817b257-c391-4877-a949-fc187d484f05,"





L'Italie est un pays situé en Europe du Sud, qui est célèbre pour son riche patrimoine culturel, son art, sa cuisine et son histoire fascinante. Avec une population de plus de 60 millions d'habitants, l'Italie est le cinquième pays le plus peuplé de l'Union européenne. Le pays est également connu pour son paysage diversifié, allant des magnifiques collines verdoyantes de la Toscane aux sommets enneigés des Alpes italiennes. Rome, la capitale de l'Italie, est l'une des villes les plus visitées au monde, avec ses célèbres ruines antiques et ses musées d'art renommés. Les villes de Florence, Venise et Milan sont également des destinations touristiques populaires, chacune offrant leur propre charme et leur propre histoire. L'Italie est également connue pour sa gastronomie, avec une cuisine régionale variée qui utilise des ingrédients frais et de saison pour créer des plats délicieux et uniques.











L'accessibilité en Italie peut varier selon les régions et les villes. Dans les grandes villes touristiques comme Rome et Florence, les monuments historiques et les musées peuvent être difficiles d'accès pour les personnes à mobilité réduite en raison des rues pavées et des bâtiments anciens sans ascenseurs ou rampes d'accès. Cependant, de nombreux musées et sites touristiques offrent des solutions alternatives pour les personnes en situation de handicap, comme des itinéraires adaptés et des visites guidées spéciales. 










","Bonne nouvelle ! Quasiment toutes les gares sont accessibles et donc équipées d'ascenseurs pour les personnes en situation de handicap, et même si ces derniers sont en pannes, vous pourrez compter sur la bienveillance des italiens pour vous aider. De plus, vous ne trouverez pas beaucoup d'escaliers dans les gares.","Rendez-vous dans les Cinque Terre pour un séjour inoubliable, entre somptueuses couleurs et magnifiques points de vue sur la mer. En plus des paysages incroyables, vous profiterez de la culture italienne et surtout, des spécialités culinaires ! Des vacances adaptées à votre handicap des plus mémorables !",Europe,83,Cinque terre
Japon,https://api.mobeetravel.com/assets/07040c0d-d0cf-433e-aeb4-034db1deacdf,"Partez pour le « pays du soleil levant » lors d’un séjour accessible aux PMR. Le pays présente un contraste éclatant entre ses villes à la pointe de la technologie et sa nature sauvage composée de magnifiques forêts et de paysages merveilleux. Profitez de vos vacances en fauteuil roulant et rencontrez les habitants de ce pays qui vous feront découvrir leur culture.
         Le Japon est un pays qui s’est très bien adapté pour accueillir des personnes handicapées. En effet, il est facile pour les personnes à mobilité réduite et en situation de handicap de se déplacer en ville ainsi que de prendre les transports en commun. De plus, les attractions et sites touristiques ont évolué afin d’accueillir les personnes en fauteuil roulant. Profitez de votre séjour accessible aux PMR et revenez avec des souvenirs inoubliables.","Tokyo est une ville très accessible pour les personnes à mobilité réduite ou en situation de handicap. Ses grandes rues sont praticables, ses infrastructures sont adaptées et les Tokyoïtes se rendent toujours disponibles pour aider les personnes en fauteuil roulant. Des mesures ont également été prises concernant les ryokan avec onsen, les fameux hôtels traditionnels avec des bains thermaux mis à disposition des clients. Le système Barrier-Free onsen s'est développé, et permet alors un accès à un onsen directement dans la chambre. En effet, les japonais voyagent beaucoup en famille, avec des membres de générations différentes, les hébergements ont donc été adaptés. ","Partez pour la ville de la démesure, la plus peuplée au monde, la capitale japonaise, Tokyo. Ce voyage, idéal pour faire des découvertes, vous surprendra par la différence de ses sites touristiques, entre modernité et traditions, mais également par la diversité des activités que cette ville propose. Visitez les temples religieux, les jardins du gigantesque palais impérial, ou choisissez de faire les magasins dans ses rues immenses.",Asie,92,Tokyo
